Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Afghanistan,AFG,..,..,-2.6810808487635,8.97487956759655,1.97416862890145,-0.665270517697508,-1.62288667166976,-0.541697283221794,0.0642502596261778,-1.19534700138595,1.536912103353,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Albania,ALB,-11.1879052985212,7.63386640301194,2.82155792832297,1.5851564748466,1.18720390657059,1.98542610277399,2.51685298606618,3.48011700478818,3.89771066605221,4.32839557846702,2.6765495559812,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Algeria,DZA,-1.75407287637006,2.39950644017823,0.980204694065236,1.40179670455332,0.761674962215665,1.7104495162547,1.60047829963881,1.10456792075536,-0.750499557879863,-0.811208543893287,-1.13069230350092,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,American Samoa,ASM,..,..,0.869269598167648,-4.23437728864654,-2.83679849163519,0.803753378222453,1.36590155070407,-2.64538324917581,-5.64961891041834,2.47043521275813,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Andorra,AND,-0.142614681962741,1.91345185341851,0.830101584464657,-3.45268829505082,-1.57374573479805,4.52445555660033,2.997046097693,4.66765457782807,0.731812818700448,1.58216933136615,1.66967982731359,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Angola,AGO,-6.65753217768959,-0.26794453749595,-0.220851379354897,4.70649816152135,1.29204141168448,1.21983473478748,-2.46871908413878,-5.81619070235372,-3.40990864925507,-5.16210163078421,-3.79567393682294,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Antigua and Barbuda,ATG,2.15504100936998,4.32849696685192,-3.3042334985694,2.05110582991783,-1.80323259487324,2.62278049551703,2.71120684663117,4.42525495026875,2.1738184581005,6.4300264671072,3.76204918450082,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Argentina,ARG,-3.87410316538033,-1.87491241541325,4.78868313859435,-2.14528444981812,1.26568517537076,-3.57858050983289,1.62966427946263,-3.11006389821465,1.75764817740523,-3.55009116736244,-3.05585486148175,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Armenia,ARM,..,6.57036387246399,4.72842677419349,6.91414364212253,2.82388903997261,3.07285853012422,2.73612872403588,-0.16150062037417,7.18375792957016,4.95169918007967,7.38336163622995,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Aruba,ABW,2.09291010616282,5.42760758812395,3.06388237087862,-1.86416771739363,3.59319794754416,-0.294411895079691,5.12561592178551,1.5830350977227,1.52178032837043,..,..,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Australia,AUS,2.04945715192424,2.70132876392373,1.04885435076942,2.11968358421093,0.834364138436911,1.0151142229833,0.732407043765832,1.17790700769076,0.591766542797203,1.37996022097906,0.623892342440669,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Austria,AUT,3.55354764697123,3.12743665014771,2.57644831811446,0.222450576943075,-0.562298942527448,-0.122370667337563,-0.111540189504495,0.892469139632297,1.69076313006771,2.0816965919734,1.00120345260058,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Azerbaijan,AZE,..,10.1910296245971,-2.8471829529599,0.85388605157209,4.48320302714393,1.52243157217855,-0.147024803718338,-4.14117490324828,-0.824348483223929,0.624884409708628,1.36668440801164,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,"Bahamas, The",BHS,-3.32065650347862,2.75534073688139,-0.683537045018909,1.95058528713726,-3.62894939562676,0.109572727539373,-0.726544207295348,0.444173985097237,2.08111077667432,1.98970145284332,0.219421884388709,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Bahrain,BHR,1.31200257216315,0.852697131889045,-0.991929406389502,1.98922992662069,4.20749884092879,2.7066520460388,-0.187300110340388,-0.359644844056533,-0.475413149347432,-3.10804991646285,-2.6311785567359,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Bangladesh,BGD,3.08698402350078,3.25749967913609,5.25309092668222,5.29826838878313,4.79439698837155,4.85610832377365,5.36877064933054,5.95090343897091,6.14209438214732,6.73705130340723,7.031583836105,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Barbados,BRB,-3.67037140701947,4.0378869704827,-0.973739961736314,-0.705782959552593,-1.61325589146156,-0.310043861155535,2.26953055511285,2.30945227743872,0.321712491817678,-0.721845443364103,-0.229793192309359,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Belarus,BLR,..,6.29963644799005,5.57238583709254,1.78036177565718,0.987444297302417,1.63497132996298,-3.98264886374072,-2.64870983124283,2.56748260752468,3.30979210664741,1.40004793095767,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Belgium,BEL,2.83026797508926,3.46545257130404,0.38003456979618,0.11640257847661,-0.0131483860964465,1.12859572471172,1.45189336758756,0.755268919102846,1.21741698308402,1.34991515111142,1.23881502431848,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Belize,BLZ,9.01727033947068,9.21423521382485,-0.476969670708343,0.0613056576335111,-0.958540330187702,1.39147082072981,0.693388315847557,-1.94351625489463,-0.127525438356784,0.133146835029436,-1.59691599397446,..
